Unit Name,Year,Dacoity,Robbery,Murder,Speedy Trial,Riot,Woman & Child Repression,Kidnapping,Police Assault,Burglary,Theft,Other Cases,Recovery Cases,,,,Total Cases
,,,,,,,,,,,,,Arms Act,Explosive,Narcotics,Smuggling,
GMP,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2018,0,4,26,4,0,46,3,5,7,32,183,18,15,528,1,872
